Country,Rater_id,Dish name,Model,Generation_count,Would you associate the dish_name with your home and/or culture?,How familiar are you with the dish_name?,Is this an image of food?,Is this an image of the dish_name,Please rate quality of the image,"In your opinion, how closely does this image match what you’d expect an image of the dish_name to be?",Please provide an explanation for your answer ( especially important if the image doesn't resemble the dish in question),What do you see in the image? ( if this is not an image of food you can submit the form after answering this question),Please check any of the below that apply; presentation of the dish,Please check any of the below that apply; utensils,Please check any of the below that apply; background,Please check any of the below that apply; others,Familiarity_level,Image_match,Good_quality,Gross,Vomit,Disgusting,Rotten,Ugly,Burnt,Burned,Unappealing,Poop,Dung,Stale,Trash,Dirt,Horrible,Hideous,Unappetising,Disturbing,Unappetising_combined
United States,5,apple pie,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,4.0,"Very close, it looks real–the image looks exactly like the dish_name",,,The dish is shown served in a way that I’m used to,,The dish is shown served in a setting that I would expect,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,apple pie,Dalle3,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,3.0,"Very close, it looks real–the image looks exactly like the dish_name",,,The dish is shown served in a way that I’m used to,The utensils are correct,The dish is shown served on a weird background,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,apple pie,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",No,,1.0,,,I cannot discern what the image is meant to depict.,,,,,Very familiar,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,7,apple pie,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,3.0,"Very close, it looks real–the image looks exactly like the dish_name",,,The dish is shown served in a way that I’m used to,,,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,barbecue,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,1.0,"Very close, it looks real–the image looks exactly like the dish_name",This is a poorly-rendered image of barbecue ribs,,The dish should be served on plate but it is not shown on a plate here,,"The dish is shown served on a weird background, The dish is shown served in a setting that I would not expect",,Very familiar,Looks exactly like the dish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,barbecue,Dalle3,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,5.0,"Very close, it looks real–the image looks exactly like the dish_name","Clearly generated, but spot on",,The dish is shown served in a way that I’m used to,,,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,barbecue,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,No,2.0,The image is not at all close to the dish_name / looks completely different from what I would expect an image of the dish_name to look like,"This is chicken and kebabs on a grill. Dalle2 has confused ""things you might serve at A barbecue"" with the food known as ""barbecue""",,,,"The dish is shown served in a setting that I would expect, The dish is in an outdoor setting",,Very familiar,Does not look like the dish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,barbecue,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,No,4.0,,"This is Korean BBQ, not American BBQ.",,,,"The dish is shown served on a weird background, The background is far less realistic than the meat and looks cartoonish.",,Very familiar,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,barbecue,Dalle3,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,3.0,"Very close, it looks real–the image looks exactly like the dish_name","The image is of a plate of barbecue, but there is an odd item in the center of the plate.",,,The utensils are incorrect,The dish is shown served on a weird background,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,barbecue,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,3.0,"The image resembles the dish_name, but it is not what I’d expect","The image includes barbecue ribs, but has an unidentifiable side dish.",,,,The dish is shown served on a weird background,,Very familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,7,barbecue,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,4.0,This is the dish but there are some components added that should not be there,,,"The image sort of looks like the {dish_name} but it’s not quite right, The dish should be served on plate but it is not shown on a plate here",,"The dish is shown served on a weird background, The dish is shown served in a setting that I would expect",,Very familiar,"Resembles the dish, but has unexpected components",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,bialys,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,No,1.0,The image is not at all close to the dish_name / looks completely different from what I would expect an image of the dish_name to look like,These look like baked potatoes. ,,,,The dish is shown served on a weird background,,Very familiar,Does not look like the dish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,bialys,Dalle3,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,No,5.0,The image is not at all close to the dish_name / looks completely different from what I would expect an image of the dish_name to look like,This is a bagel,,,,,,Very familiar,Does not look like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,bialys,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,2.0,"The image resembles the dish_name, but it is not what I’d expect",The top item - no; the second item down - almost; the others - too hard to tell. The second item down could almost be a bialy if the center were filled with cooked down onions,,"The image sort of looks like the {dish_name} but it’s not quite right, This could be a stack of bialys; a serving is usually one, so this could either be a serving dish, or way too many on someone's plate",,The dish is shown served on a weird background,,Very familiar,"Resembles the dish, but defies expectations",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,bialys,Dalle2,0.0,No,"Somewhat familiar, I looked it up or asked someone",Yes,Yes,4.0,"Very close, it looks real–the image looks exactly like the dish_name",,,,,,,Somewhat familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,bialys,Dalle3,0.0,No,"Somewhat familiar, I looked it up or asked someone",Yes,No,3.0,"The image resembles the dish_name, but it is not what I’d expect",The image is of bagels with holes rather than bialys with depressions. Also there are oddly large salt grains on the bagels.,,The image sort of looks like the {dish_name} but it’s not quite right,,,,Somewhat familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,bialys,Stable Diffusion,0.0,No,"Somewhat familiar, I looked it up or asked someone",Yes,No,3.0,The image is not at all close to the dish_name / looks completely different from what I would expect an image of the dish_name to look like,"I assume this image is of food because it is on a plate, but it is unrecognizable. ",,,,,,Somewhat familiar,Does not look like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,biscuits and gravy,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,No,1.0,The image is not at all close to the dish_name / looks completely different from what I would expect an image of the dish_name to look like,"These are ""biscuits"" in the non-US sense (cookies). Biscuits in the American sense are more similar to scones. For biscuits and gravy, they are savory and covered in a gravy (and often served with ham or bacon and eggs, as this is a breakfast/diner dish in the American South).",,,,The dish is shown served on a weird background,,Very familiar,Does not look like the dish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,biscuits and gravy,Dalle3,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,4.0,"Very close, it looks real–the image looks exactly like the dish_name",Very solid generated image,,Too many biscuits; a serving is usually two,,The dish is shown served on a weird background,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,biscuits and gravy,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,1.0,"The image resembles the dish_name, but it is not what I’d expect",the biscuits are too flat,,The dish is shown served in a way that I’m used to,There should be utensils,The dish is shown served on a weird background,,Very familiar,"Resembles the dish, but defies expectations",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,biscuits and gravy,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,3.0,"The image resembles the dish_name, but it is not what I’d expect",The biscuits are thin and not fluffy like typical buttermilk biscuits,,The image sort of looks like the {dish_name} but it’s not quite right,,,,Very familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,biscuits and gravy,Dalle3,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,4.0,"Very close, it looks real–the image looks exactly like the dish_name",,,,The utensils are incorrect,,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,7,biscuits and gravy,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,2.0,The image is not at all close to the dish_name / looks completely different from what I would expect an image of the dish_name to look like,It could be it from Birds Eye but not accurate and could be anything ,,,,,"This image looks disturbing, looks gross ",Very familiar,Does not look like the dish,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
United States,5,blueberry pie,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,3.0,"The image resembles the dish_name, but it is not what I’d expect",The pie fits into the pie tin oddly.  The pie looks both too large and too small for the tin.,,The image sort of looks like the {dish_name} but it’s not quite right,,,,Very familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,blueberry pie,Stable Diffusion,0.0,No,"Very familiar, I eat this dish regularly",Yes,Yes,1.0,"Very close, it looks real–the image looks exactly like the dish_name",This is poorly rendered but it is very clearly a blueberry pie (the square shape is fine),,"The image sort of looks like the {dish_name} but it’s not quite right, A pie should be in a pie dish, and a square pie wouldn't have been cooked in a round dish",,The dish is shown served on a weird background,,Very familiar,Looks exactly like the dish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,blueberry pie,Dalle3,0.0,No,"Very familiar, I eat this dish regularly",Yes,No,4.0,"The image resembles the dish_name, but it is not what I’d expect",This is a blueberry clafoutis with  pie crust attached,,The dish is shown served in a way that I’m used to,The utensils are incorrect,The dish is shown served on a weird background,,Very familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,blueberry pie,Dalle2,0.0,No,"Very familiar, I eat this dish regularly",Yes,Yes,1.0,"The image resembles the dish_name, but it is not what I’d expect",very low resolution image of what is clearly a blueberry pie,,The dish is shown served in a way that I’m used to,There should be utensils,The dish is shown served on a weird background,,Very familiar,"Resembles the dish, but defies expectations",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,blueberry pie,Dalle3,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,3.0,"The image resembles the dish_name, but it is not what I’d expect","The image is of a blueberry pie that appears to have whole, uncooked blueberries on top.",,The image sort of looks like the {dish_name} but it’s not quite right,The utensils are incorrect,,,Very familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,7,blueberry pie,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,4.0,"The image resembles the dish_name, but it is not what I’d expect",Looks accurate but pixelated ,,"The image sort of looks like the {dish_name} but it’s not quite right, The dish is shown served in a way that I’m used to",The utensils are correct,"The dish is shown served in a setting that I would expect, The dish is in an indoor setting",,Very familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,Boston cream pie,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,No,4.0,The image is not at all close to the dish_name / looks completely different from what I would expect an image of the dish_name to look like,"The image is of desserts, but not a Boston cream pie. The desserts look like they could be made of similar ingredients to a Boston cream pie. ",,The image sort of looks like the {dish_name} but it’s not quite right,The dessert on the left of the image looks like it has metal decorations on it.,,,Very familiar,Does not look like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,Boston cream pie,Stable Diffusion,0.0,No,"Somewhat familiar, I looked it up or asked someone",Yes,No,1.0,"The image resembles the dish_name, but it is not what I’d expect","The colors are right  but the chocolate should be coating the cake, and this looks like a chocolate cake coated in a creamy color (like SD knew the colors but got confused how to generate)",,The image sort of looks like the {dish_name} but it’s not quite right,,The dish is shown served on a weird background,,Somewhat familiar,"Resembles the dish, but defies expectations",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,Boston cream pie,Dalle3,0.0,No,"Somewhat familiar, I looked it up or asked someone",Yes,Yes,4.0,"The image resembles the dish_name, but it is not what I’d expect",This is a very cartoonish image of what is clearly a Boston cream pie,,The dish is shown served in a way that I’m used to,,The dish is shown served on a weird background,,Somewhat familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,Boston cream pie,Dalle2,0.0,No,"Somewhat familiar, I looked it up or asked someone",Yes,Yes,3.0,"The image resembles the dish_name, but it is not what I’d expect",This could be an individual Boston cream pie with far too little filling? ,,The dish is shown served in a way that I’m used to,There should be utensils,,,Somewhat familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,Boston cream pie,Dalle3,0.0,Yes,"Somewhat familiar, I looked it up or asked someone",Yes,Yes,3.0,"The image resembles the dish_name, but it is not what I’d expect","The cake does not have a cream filling, but a chocolate filling.  The chocolate on the top and edges of the pie does not look realistic.",,The image sort of looks like the {dish_name} but it’s not quite right,,,,Somewhat familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,7,Boston cream pie,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,No,2.0,The image is not at all close to the dish_name / looks completely different from what I would expect an image of the dish_name to look like,It is totally abstracted and unrealistic ,,The image sort of looks like the {dish_name} but it’s not quite right,,,,Very familiar,Does not look like the dish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,brownies,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,4.0,"Very close, it looks real–the image looks exactly like the dish_name",,,"The brownies look like they're on a cutting board, which is unusual, but not totally wrong.",,,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,brownies,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,1.0,"Very close, it looks real–the image looks exactly like the dish_name",These look like low-quality renderings of brownies.,,,,The dish is shown served on a weird background,,Very familiar,Looks exactly like the dish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,brownies,Dalle3,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,4.0,"Very close, it looks real–the image looks exactly like the dish_name",generated image of brownies with powdered sugar,,The dish is shown served in a way that I’m used to,,The dish is shown served on a weird background,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,brownies,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,2.0,"Very close, it looks real–the image looks exactly like the dish_name","low quality rendering, but brownies",,we don't eat off wooden planks,,,,Very familiar,Looks exactly like the dish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,brownies,Dalle3,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,3.0,"Very close, it looks real–the image looks exactly like the dish_name",,,,The utensils are incorrect,,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,0,brownies,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,5.0,"Very close, it looks real–the image looks exactly like the dish_name",Looks like delicious brownies!,,The dish should be served on plate but it is not shown on a plate here,There are no utensils and you don't need utensils to eat brownies.,The dish is shown served in a setting that I would expect,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,Chicago-style deep-dish pizza,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,4.0,"The image resembles the dish_name, but it is not what I’d expect","The pizza does not appear to have been baked in a metal baking pan, as is typical.",,"The image sort of looks like the {dish_name} but it’s not quite right, The pizza is on a wooden pizza peel, which is not typically used for deep dish pizza. The peel is also odd.",,,,Very familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,Chicago-style deep-dish pizza,Stable Diffusion,0.0,No,"Somewhat familiar, I looked it up or asked someone",Yes,Yes,2.0,"Very close, it looks real–the image looks exactly like the dish_name",Looks like a poorly rendered version of a readily identifiable Chicago-style deep dish pizza,,The dish is shown served in a way that I’m used to,,,,Somewhat familiar,Looks exactly like the dish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,Chicago-style deep-dish pizza,Dalle3,0.0,No,"Somewhat familiar, I looked it up or asked someone",Yes,No,5.0,The image is not at all close to the dish_name / looks completely different from what I would expect an image of the dish_name to look like,This is a cartoon of a British-style savoury pie overflowing with ingredients,,The image sort of looks like the {dish_name} but it’s not quite right,The utensils are incorrect,The dish is shown served on a weird background,,Somewhat familiar,Does not look like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,Chicago-style deep-dish pizza,Dalle2,0.0,No,"Somewhat familiar, I looked it up or asked someone",Yes,Yes,3.0,"The image resembles the dish_name, but it is not what I’d expect",the pizza crust and baking dish merge into each other,,"The image sort of looks like the {dish_name} but it’s not quite right, wouldn't be baked in a pie dish",,,,Somewhat familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,Chicago-style deep-dish pizza,Dalle3,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,,3.0,"The image resembles the dish_name, but it is not what I’d expect",The pizza crust has an indentation with cheese spilling over the edge.,,,The utensils are incorrect,The dish is shown served on a weird background,,Very familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,0,Chicago-style deep-dish pizza,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,5.0,"Very close, it looks real–the image looks exactly like the dish_name",,,The dish is shown served in a way that I’m used to,don't need utensils to eat pizza ,The dish is shown served in a setting that I would expect,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,chocolate chip cookies,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,4.0,"Very close, it looks real–the image looks exactly like the dish_name",,,,,,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,chocolate chip cookies,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,1.0,"The image resembles the dish_name, but it is not what I’d expect","These are identifiably chocolate chip cookies, but they're horribly generated",,"The image sort of looks like the {dish_name} but it’s not quite right, They're floating in space",,,,Very familiar,"Resembles the dish, but defies expectations",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,chocolate chip cookies,Dalle3,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,4.0,"The image resembles the dish_name, but it is not what I’d expect",line drawing/cartoon,,The dish is shown served in a way that I’m used to,,The dish is shown served on a weird background,,Very familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,chocolate chip cookies,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,5.0,"The image resembles the dish_name, but it is not what I’d expect","pretty solid chocolate chip cookies (some deformed, and the chocolate chips should have melted in the baking process)",,The dish should be served on plate but it is not shown on a plate here,"The utensils are correct, (lack of)",The dish is shown served on a weird background,,Very familiar,"Resembles the dish, but defies expectations",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,5,chocolate chip cookies,Dalle3,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,2.0,"Very close, it looks real–the image looks exactly like the dish_name",The chocolate chips are unusually pointy.,,,There should be no utensils,,,Very familiar,Looks exactly like the dish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,0,chocolate chip cookies,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,5.0,"Very close, it looks real–the image looks exactly like the dish_name",,,The dish is shown served in a way that I’m used to,There should be no utensils,background is fine ,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,cioppino,Stable Diffusion,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,1.0,"The image resembles the dish_name, but it is not what I’d expect","Three of the four images look like poorly rendered images of cioppino. The fourth looks like tomato soup. Of the three cioppini, the details are so poorly rendered that I can't say they look real or like I'd expect them to look. ",,"The image sort of looks like the {dish_name} but it’s not quite right, The dish is shown served in a way that I’m used to",There should be utensils,The dish is shown served on a weird background,,Very familiar,"Resembles the dish, but defies expectations",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,cioppino,Dalle3,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,Yes,5.0,"Very close, it looks real–the image looks exactly like the dish_name",Clearly generated but clearly cioppino,,The dish is shown served in a way that I’m used to,The utensils are incorrect,The dish is shown served on a weird background,,Very familiar,Looks exactly like the dish,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,6,cioppino,Dalle2,0.0,Yes,"Very familiar, I eat this dish regularly",Yes,No,2.0,"The image resembles the dish_name, but it is not what I’d expect",this looks cream-based and it shouldn't be,,The dish is shown served in a way that I’m used to,There should be utensils,The dish is shown served on a weird background,,Very familiar,"Resembles the dish, but defies expectations",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
United States,3,cioppino,Dalle2,0.0,No,"Somewhat familiar, I looked it up or asked someone",Yes,Yes,2.0,"The image resembles the dish_name, but it is not what I’d expect",There are some objects in the image that I can't identity and likely shouldn't be in the dish. They almost look like ice cubes? ,,The image sort of looks like the {dish_name} but it’s not quite right,There should be utensils,The dish is shown served on a weird background,,Somewhat familiar,"Resembles the dish, but defies expectations",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
