id,local_name,english_name,language,language_code,countries,continent,regions,cultures,time_of_day,time_of_day_more,type_of_dish,type_of_dish_more,utensils,drink,occasions,occasions_more,ingredients,recipe,more_details,public_cc_image_url,public_cc_image_caption,uploaded_image_name,uploaded_image_url,uploaded_image_caption
858,Khobz el Dar,algeria semonlina bread,Daridja arabic,ary,Algeria,Africa,,,['snack'],,['Side dish'],,,,regular,,"semolina, flour, Milk, Sugar, Yeast, sesame, water, Oil",https://www.allrecipes.com/recipe/258887/khobz-el-dar-algerian-semolina-bread/,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.jlUmBiGf30pMD7v2fSG9mAHaFj%26pid%3DApi&f=1&ipt=f47ac05bb96a04143f33fccc91b7f0216506eab43f60af9c72f04a67d11b,this image shows algerian semolina bread khobz el dar,,,
857,Dersa,algerian chile paste,Daridja arabic,ary,Algeria,Africa,,,['anytime'],,['Side dish'],,,,regular,,"olive oil, paprika, cumin, garlic, red pepper",https://www.allrecipes.com/gallery/best-algerian-recipes/,,https://api.openverse.org/v1/images/39d05a89-4df1-4386-811c-c72c58fba448/thumb/,this image shows algerian chile paste called darsa or algerian harissa,,,
856,Chtitha Batata,shtitha batata /Algerian Potato Stew,Daridja arabic,ary,Algeria,Africa,,,"['lunch', 'dinner']",,['Main dish - eaten with sides'],,"spoon, fork",,regular,,"carrot, tomato, onion, potato, meadow sweet, garlic",https://afrifoodnetwork.com/recipes/soup-stew-recipes/chtitha-batata/,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.1cWOEA8sqfr5eWVQoHx7DAHaEw%26pid%3DApi&f=1&ipt=d1baf88c37e7acb429f9ecd9e31327db9e691328a77f1aa3371ca30e7c59,this image shows algerian potato stew chtitha batata,,,
854,chorba beidha,shorba beyda,Daridja arabic,ary,Algeria,Africa,Algiers,,"['lunch', 'dinner']",,['Soup'],,spoon,,regular,,"onion, garlic, chicken, cinnamon, water, Vermicelli",https://www.lonelyplanet.com/articles/how-to-make-chorba-beida,,No CC Images Available,,,,
689,Dolma qarnoun,Dolma qarnun,Daridja arabic,ary,Algeria,Africa,Center,,"['lunch', 'dinner']",,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,spoon,,regular,,"tomato, parsley, artichoke, chickpea, meat",https://www.196flavors.com/algeria-dolma-qarnoun/,,No CC Images Available,,,,
688,3rayech,Arayesh,Daridja arabic,ary,Algeria,Africa,Center,,['snack'],,['Dessert'],,hands,"tea, milk and coffee",special,"eid, wedding","almond, vanilla, butter, flour, Sugar, lemon juice, orange water",https://www.myexcellentdegustations.com/%F0%9F%87%A9%F0%9F%87%BF-algerian-almond-filled-cookies-arayeche/,,No CC Images Available,,,,
603,halwat el lambout,halwat el lambout,Daridja arabic,ary,Algeria,Africa,,,['snack'],,['Dessert'],,hands,"tea, milk and coffee",special,Eid,"vanilla extract, butter, baking powder, flour, Sugar, lemon zest",https://www.lesjoyauxdesherazade.com/halwat-lambout/,,No CC Images Available,,,,
601,chtitha lhem,shtitha lhem,Daridja arabic,ary,Algeria,Africa,,,"['lunch', 'dinner']",,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,"spoon, bread",,both,wedding,"carrot, tomato, onion, potato, paprika, cumin, chickpea, meat",https://www.halalhomecooking.com/chtitha-lham/,,No CC Images Available,,,,
551,kheshkhash,kheshkhash,Daridja arabic,ary,Algeria,Africa,,,['snack'],,['Dessert'],,hands,"tea, milk and coffee",special,"ramadhan, eid, celebrations","honey, vanilla extract, butter, flour, Sugar, egg, Oil",https://www.myexcellentdegustations.com/%F0%9F%87%A9%F0%9F%87%BF-algerian-sweet-oreillettes-or-el-khechkhech/,,No CC Images Available,,,,
484,Khfaf/ sfenj,khfaf/ sfenj,Daridja arabic,ary,Algeria,Africa,,,['snack'],,['Dessert'],,hands,"tea, milk and coffee",both,"Eid, birth, celebrations","semolina, sunflower oil, flour, Sugar, Yeast",https://www.amourdecuisine.fr/article-khfaf-a-semoule-recette-traditionnelle-algerienne.html,,No CC Images Available,,,,
466,Bniwen,bniwen,Daridja arabic,ary,Algeria,Africa,,,['snack'],,['Dessert'],,hands,"tea, milk and coffee",special,Eid,"almond, milk chocolate, grated coconut, peanut, halva, crushed biscuits",https://lifestyleofafoodie.com/no-bake-energy-balls/,"This is the best algerian desert/cookie in my opinion and in many algerian's opinion, there's nothing to hate about it",No CC Images Available,,,,
465,halwat tabe3,halwat tabaa,Daridja arabic,ary,Algeria,Africa,,,['snack'],,['Dessert'],,,"tea, milk and coffee",both,"Breakfast, eid","vanilla extract, baking powder, flour, Sugar, egg, Oil",https://www.mesinspirationsculinaires.com/article-halwat-tabaa-gateau-algerien-109100473.html,,No CC Images Available,,,,
413,Mardoud,Mardoud,Daridja arabic,ary,Algeria,Africa,"Ouargla, South",,"['lunch', 'dinner']",,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,spoon,,special,"Yennayer, Ramadhan, Mouloud, Achoura","carrot, tomato, onion, courgette, couscous, meat",https://fr.wikipedia.org/wiki/Mardoud,,No CC Images Available,,,,
412,Bradj,Bradj,Daridja arabic,ary,Algeria,Africa,,,['snack'],,['Dessert'],,hands,"tea, milk and coffee",regular,,"semolina, date, Sugar, Oil",https://fr.wikipedia.org/wiki/Bradj,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Mbardja_%2Cpatisserie_algerienne.jpg/420px-Mbardja_%2Cpatisserie_algerienne.jpg,this image shows bradj biscuits filled with dates,,,
411,Besbousa,Besbousa,Daridja arabic,ary,Algeria,Africa,,,['snack'],,['Dessert'],,spoon,tea,special,Ramadhan,"semolina, honey, cinnamon, flour, Sugar, orange water, Oil",https://fr.wikipedia.org/wiki/Basboussa,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Basboosa.jpg/420px-Basboosa.jpg,this image shows algerian besbousa garnished with walnuts,,,
409,Khobz El Bey,Khobz El Bey/ El Bey's bread,Daridja arabic,ary,Algeria,Africa,Algiers,,['snack'],,['Dessert'],,spoon,tea,special,Ramadhan,"almond, lemon, butter, baking powder, Sugar, Eggs, lemon juice, orange water, old bread",https://www.myexcellentdegustations.com/algerian-bread-crumbs-cake-khobz-el-bey/,,No CC Images Available,,,,
407,Sfiriya,Sfiriya,Daridja arabic,ary,Algeria,Africa,Algiers,,"['lunch', 'dinner']",,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,spoon,,regular,,"onion, cheese, chicken, cinnamon, Eggs, Bread, old bread",https://fr.wikipedia.org/wiki/Sfiria,This dish is eaten in Algeria during the ottoman period by the poor since it used old stale bread,No CC Images Available,,,,
406,shebah sefra,shebah sefra/ garnisher of the meal,Daridja arabic,ary,Algeria,Africa,Constantine,,"['lunch', 'dinner']",,"['Side dish', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,,,special,"ramadhan, weddings","almond, ghee, cinnamon, flour, Sugar, meat, orange water, rose water",https://fr.wikipedia.org/wiki/Chbah_essafra,this is a sweet salty dish,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Chbah_Essafra_%2Cplat_constantionois.jpg/420px-Chbah_Essafra_%2Cplat_constantionois.jpg,this image shows meat surrounded by almond cakes,,,
403,Legmi,Legmi/ Palm drink,Daridja arabic,ary,Algeria,Africa,"Touareg , South",Touareg/ Ouargla,['snack'],,['Other'],drink,cup,,special,,palm sap,https://fr.wikipedia.org/wiki/Vin_de_palme,This drink is alcoholic but also can be non-alcoholic if you don't ferment it enough,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Toddy_Bottle_and_Glass.jpg/375px-Toddy_Bottle_and_Glass.jpg,This image shows a drink extracted from palm sap,,,
396,Jawzia,Jawziya,Daridja arabic,ary,Algeria,Africa,Constantine,,['snack'],,['Dessert'],,hand,,special,social evenings,"walnut, honey, Sugar, egg white",https://fr.wikipedia.org/wiki/Jawzia_(confiserie),"The literal meaning of the dish is ""the walnut dish"" and is a luxury expensive desert",https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Ballotin_de_djawzia.jpg/420px-Ballotin_de_djawzia.jpg,this image shows a gift box of Jawzia,,,
339,moumou fi hdjer mou,the baby in his mother's lap,Daridja arabic,ary,Algeria,Africa,"Algiers, Center",center,"['lunch', 'dinner']",,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,spoon,,both,Ramadhan,"lamb, onion, ghee, chickpea",https://lemondeculinairedesamia.com/mfechech-fi-ahdjeur-mo-cigare-algerois/,,No CC Images Available,,,,
336,el kadi ou jmaatou,The attorney and his circle,Daridja arabic,ary,Algeria,Africa,Algiers,center,"['lunch', 'dinner']",,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,spoon,,both,Ramadhan,"onion, chickpea, chicken, Eggs",https://fr.wikipedia.org/wiki/El_bey_w-dayertou,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Bay_quadi_darami.jpg/420px-Bay_quadi_darami.jpg,"this image shows chickpeas with eggs and chicken , garnished with lemon",,,
333,mkafan fi hdjar yemah,the deceased in his mother's lap,Daridja arabic,ary,Algeria,Africa,Algiers,,"['lunch', 'dinner']",,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,spoon,,both,Ramadhan,"onion, Eggs, Ground beef",https://fr.wikipedia.org/wiki/Mkafan_fi_hdjar_yemah,"Many Algérois dishes have weird/funny names, like this one",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Mkfen_fi_hdjer_yemah.jpg/420px-Mkfen_fi_hdjer_yemah.jpghttps://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Mkfen_fi_hdjer_yemah.jpg/420px-Mkfen_fi_hdjer_yemah.jpg,this image shows ground meet stuffed with eggs,,,
330,Boussou la tmessou,Kiss it don't touch it,Daridja arabic,ary,Algeria,Africa,"Algiers, Center",center,['snack'],,['Dessert'],,hands,,both,"eid, wedding","almond, butter, baking powder, flour, Sugar, Eggs, sesame, Maizena, lemon juice, lemon zest, orange water",https://www.196flavors.com/fr/algerie-boussou-la-tmessou/,,https://www.196flavors.com/wp-content/uploads/2016/06/boussou-la-tmessou-7.jpg,this image shows a biscuit covered with powdered sugar,,,
327,Sekran tayeh f droudj,A drunk falling down the stairs,Daridja arabic,ary,Algeria,Africa,"Algiers, Center",center,"['lunch', 'dinner']",,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,spoon,,special,Ramadhan,"onion, cinnamon, Eggs, meat, Ground beef",https://www.algerie-dz.com/forums/cuisine/451997-plat-anti-ramadan-sekrane-tayeh-fi-drouj,"The name is funny, a drunk falling down the stairs and there are many legends behind it",No CC Images Available,,,,
326,Kefta,Algerian Kefta,Daridja arabic,ary,Algeria,Africa,,,"['lunch', 'dinner']",,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,"spoon, fork",,special,Ramadhan,"tomato, onion, green olive, meat",https://stonedsoup.net/algerian-kefta/,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.ismQJTydjeyD88GYgnh3wwHaE8%26pid%3DApi&f=1&ipt=d792f243cedd01938c5000b9932357233866e938674389dd4463f9dfd0a9,this image shows kefta meat balls with green olives,,,
198,Coca,coca,Daridja arabic,ary,Algeria,Africa,,,['snack'],,"['Starter', 'Side dish']",,hands,,regular,,"tomato, black olive, onion, flour",https://www.196flavors.com/algeria-algerian-coca/,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.Je4rXKQupCJbakGrRHoacwHaEK%26pid%3DApi&f=1&ipt=f542fbc3826ff8cf47c66ded986044c3e9a4fc7b5f34b5f84f45345b3f06,this image shows algerian coca salted pastry topped with olives,,,
197,qelb ellouz,Algerian heart of almond,Daridja arabic,ary,Algeria,Africa,,,['snack'],,['Dessert'],,spoon,,special,Ramadhan,"almond, semolina, Sugar",https://en.wikipedia.org/wiki/Kalb_el_louz,,No CC Images Available,,,,
195,Tamina,Tamina,Daridja arabic,ary,Algeria,Africa,,,['snack'],,"['Small plate / bowl for sharing', 'Dessert']",,spoon,tea,special,Child birth,"almond, semolina, honey, butter, cinnamon",https://afrifoodnetwork.com/recipes/dessert-recipes/tamina/,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.whektB0AIjLhqInAf_BVBAHaEK%26pid%3DApi&f=1&ipt=f3289c37d2b3cc3bf363d3e7bc2151265ba53c25c31c83983ef59da2be7f,This image shows a Tamina plate which is made of semolina and honey,,,
194,mhadjeb,mhadjeb,Daridja arabic,ary,Algeria,Africa,,,"['lunch', 'dinner', 'snack', 'anytime']",,"['Small plate / bowl served as a part of a collection', 'Other']",sandwich,hands,,regular,,"tomato, semolina, onion, pepper",https://afrifoodnetwork.com/recipes/mhadjeb/,,https://api.openverse.org/v1/images/79c226e3-abbc-41dd-ba95-d21ecd647ddc/thumb/,this image shows mhadjeb which is a sort of salted crepes stuffed with onion and tomato sauce,,,
159,Chekhchoukha,Chekhchoukha,Daridja arabic,ary,Algeria,Africa,Center,center,"['lunch', 'dinner']",,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,spoon,,both,"Yennayer, Ramadhan, Mouloud, Achoura","carrot, tomato, semolina, onion, courgette, turnip, chickpea, meat",https://afrifoodnetwork.com/recipes/appetizer-recipes/chekhchoukha/,,No CC Images Available,,,,
158,Dobara,dobara,Daridja arabic,ary,Algeria,Africa,Biskra,,"['lunch', 'dinner']",,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,spoon,,regular,,"tomato, onion, cilantro (coriander leaves), chickpea, chili",https://afrifoodnetwork.com/recipes/main-course-recipes/dobara/,,https://api.openverse.org/v1/images/d83d550c-2f8e-4093-9abe-b882f3655a78/thumb/,dobara chickpea soup served in a white plate garnished with coriander,,,
157,zviti,algerian chili dish,Daridja arabic,ary,Algeria,Africa,Bousaada,,"['lunch', 'dinner']",,"['Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,spoon,fermented milk,regular,,"tomato, semolina, garlic, coriander, Bread, chili",https://afrifoodnetwork.com/recipes/appetizer-recipes/zviti/,,https://api.openverse.org/v1/images/7fb6df9a-c3f3-40f1-b665-cfb28b40c81c/thumb/,zviti or algerian chili dish in a long pot mixed with a big spoon,,,
155,Garantina,"garantita, chickpea gello",Daridja arabic,ary,Algeria,Africa,Ouest,,"['lunch', 'dinner', 'snack', 'anytime']",,"['Small plate / bowl served as a part of a collection', 'Other']",sandwich,,,regular,,"salt, cumin, chickpea",https://afrifoodnetwork.com/recipes/snack-recipes/garantita/,,No CC Images Available,,,,
154,mchewek,Algerian Almond Cookies,Daridja arabic,ary,Algeria,Africa,,,['snack'],,['Dessert'],,hands,,special,"eid, wedding","almond, honey, butter, flour, Sugar, peanut",https://www.myexcellentdegustations.com/algerian-almond-cookies-called-mchewek/,,https://www.myexcellentdegustations.com/wp-content/uploads/2022/01/9992093D-C065-4A87-871E-6FBBF48BBD84.jpeg,algerian almond cookie topped with an almond in the middle,,,
153,Tacharak mseker,sweet tcharak- Algerian Sugar Coated Almond Filled Crescent Cookies,Daridja arabic,ary,Algeria,Africa,,,['snack'],,['Dessert'],,hands,,special,"eid, wedding","almond, vanilla, butter, cinnamon, flour, Sugar, peanut",https://www.myexcellentdegustations.com/%F0%9F%87%A9%F0%9F%87%BF-algerian-sugar-coated-almond-filled-crescent-cookies-tcharak-msaker/,,https://www.myexcellentdegustations.com/wp-content/uploads/2022/01/C764B073-7AEE-4197-8204-128570E2F684.jpeg,this image shows sugar-coated crescent shaped tcharak pastry,,,
152,Mekrout,Algerian Mekrout,Daridja arabic,ary,Algeria,Africa,,,['snack'],,['Dessert'],,hands,tea,both,"ramadhan, eid","semolina, honey, sunflower oil, date, butter, cinnamon, Sugar",https://www.196flavors.com/algeria-makroud/,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.ytimg.com%2Fvi%2FCI7dR37XhWE%2Fmaxresdefault.jpg&f=1&nofb=1&ipt=a6857a29c3c1b810d786940a76eb03d7efa42a60d8990cc981c3e30d4e04b9eb&ipo=image,the image shows mekrout a traditional date and semolina desert on a traditional north African plate,,,
112,chorba frik,freekeh soup,Daridja arabic,ary,Algeria,Africa,,,"['lunch', 'dinner']",,"['Soup', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,spoon,,both,Ramadhan,"carrot, onion, courgette, potato, chickpea, coriander, freekeh, meat",https://www.196flavors.com/algeria-chorba-frik/,,https://www.cuisineculinaire.com/wp-content/uploads/2017/05/Chorba-frik-traditionnelle-recette-soupe-algerienne_1_680.jpg,"freekeh soup bowl garnished with coriander, and lemon on the side",,,
100,7rira,"hrira, algerian hrira",Daridja arabic,ary,Algeria,Africa,"Oran, Ouest",,"['lunch', 'dinner']",,"['Soup', 'Main dish - stand alone (e.g. one pot meal)', 'Main dish - eaten with sides']",,spoon,,both,Ramadhan,"tomato, onion, courgette, potato, lentils, garlic, chickpea, coriander, meat",https://www.auxdelicesdupalais.net/harira-soupe-algerienne-recette-hrira.html,There's a moroccan version of the dish that it slightly different,https://www.auxdelicesdupalais.net/wp-content/uploads/2020/05/harira-alg%C3%A9rienne1-1024x681.jpg,bowl of hrira soup with lemon on the side and a spoon inside the bowl,,,
99,l7em le7lou,the sweet meat,Daridja arabic,ary,Algeria,Africa,Algiers,,['dinner'],,['Small plate / bowl served as a part of a collection'],,,,special,Ramadhan,"almond, apple, cinnamon, Sugar, meat, prunes",https://www.tasteatlas.com/lham-lahlou,"It can be cooked without the meat, it's more delicious, other fruits can be used as well such as pineapple, pears etc...",No CC Images Available,,,,
75,rechta,rechta,Daridja arabic,ary,Algeria,Africa,"Algiers, central Algeria",,"['lunch', 'dinner']",,['Main dish - stand alone (e.g. one pot meal)'],,spoon,,special,"Yennayer, Ramadhan, Mouloud, Achoura","onion, courgette, turnip, olive oil, chickpea, chicken, cinnamon, rechta noodles",https://www.dzbreaking.com/2017/11/20/rechta-traditional-algerian-recipe/,It can be eaten regularly on Fridays before Friday prayers,No CC Images Available,,,,
74,mthewem,Algerian Meatballs in a Chickpea Sauce,Daridja arabic,ary,Algeria,Africa,"Algiers, Center",,"['lunch', 'dinner']",,['Main dish - stand alone (e.g. one pot meal)'],,"spoon, fork",,special,"Ramadhan, celebrations","olive oil, parsley, beef, garlic, chickpea, chicken",https://recettes.de/mtewem,It can be eaten every day or on special occasions,No CC Images Available,,,,
864,fenouils farcis algeriens,algerian stuffed fennels,"Daridja arabic, French","ary, fra",Algeria,Africa,,,"['lunch', 'dinner']",,['Main dish - stand alone (e.g. one pot meal)'],,"spoon, fork",,regular,,"onion, green olive, ginger, parsley, butter, fennel, chicken, egg, Oil",http://cuisinealgerie.com/fenouils-farcis/,,No CC Images Available,,,,
855,Poulet Roti a l'Algerienne,Algerian Roast Chicken,"Daridja arabic, French","ary, fra",Algeria,Africa,,,"['lunch', 'dinner']",,['Main dish - eaten with sides'],,,,regular,,"onion, dijon mustard, olive oil, cumin, garlic, chicken",https://stonedsoup.net/poulet-roti-a-lalgerienne/,,No CC Images Available,,,,
549,Creppone,kreponey/algerian ice cream,"Daridja arabic, French","ary, fra",Algeria,Africa,"Oran, Center, Ouest",,['snack'],,['Dessert'],,spoon,,both,Summer,"Sugar, water, lemon juice",https://en.wikipedia.org/wiki/Creponne,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Crepone.jpg/375px-Crepone.jpg,"this image shows an algerian lemon sorbet, eaten as an ice cream in summer",,,
885,batata fliou,batata fliyu,"Daridja arabic, Kabyle","ary, kab",Algeria,Africa,"Center, Kabylia",,"['lunch', 'dinner']",,['Main dish - stand alone (e.g. one pot meal)'],,"spoon, bread",,both,spring,"potato, paprika, garlic, egg, Oil, mosquito plant",http://www.evasion-culinaire.com/batata-fliou-pommes-de-terre-au-pouliot/,,No CC Images Available,,,,
349,kaak ne9ash/ lke3k una9ash,nekash,"Daridja arabic, Kabyle","ary, kab",Algeria,Africa,,,['snack'],,['Dessert'],,hands,tea,special,"eid, wedding","ghee, date, butter, cinnamon, flour, Sugar, sesame",https://fr.wikipedia.org/wiki/Nekkache,The name means the sculpted cookie because the decoration is handmade,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Nekkache_%2Cpatisserie_Algerienne.jpg/420px-Nekkache_%2Cpatisserie_Algerienne.jpg,This image shows algerian date stuffed circles decorated with pinching,,,
133,berkoukes,algerian berkoukes soup,"Daridja arabic, Kabyle","ary, kab",Algeria,Africa,Kabylia,Kabylia,"['lunch', 'dinner']",,"['Soup', 'Main dish - stand alone (e.g. one pot meal)']",,spoon,,both,"child birth, yennayer, winter","carrot, pumpkin, onion, courgette, turnip, potato, garlic, chicken, meat, berkoukes",https://afrifoodnetwork.com/recipes/soup-stew-recipes/berkoukes/,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.dzbreaking.com%2Fwp-content%2Fuploads%2F2017%2F12%2Fberkoukes-algerien.jpg&f=1&nofb=1&ipt=c42f85d5c0bd30f265588579bf09bccc11a8834aa1c15c,this image shows a traditional north african style pot with berkoukes soup garnished with coriander on a white tissue and a wooden spoon on the side,,,
892,latay,algerian tea/algerian kabyle tea,Kabyle,kab,Algeria,Africa,Kabylia,Kabylia,['snack'],,['Other'],drink,,,regular,,"basil, green tea, ginger, mint, clove, Sugar",,,https://duckduckgo.com/i/1017fe6cab725c05.jpg,this image shows a typical way of serving algerian tea,,,
602,tahbult tmellalin,tahbult tmellalin,Kabyle,kab,Algeria,Africa,Kabylia,Kabylia,"['breakfast', 'snack']",,"['Side dish', 'Dessert']",,hands,"tea, milk and coffee",both,Child birth,"semolina, baking powder, egg, Oil",https://fr.wikipedia.org/wiki/Tahboult_n%27tmelaline,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Tahboult_ntmelaline_%2812793095414%29.jpg/420px-Tahboult_ntmelaline_%2812793095414%29.jpg,this image shows tahbult tmellalin a kabyle plate served with honey,,,
502,Thamthount n zzith,Thamthount n zzith,Kabyle,kab,Algeria,Africa,Kabylia,,"['breakfast', 'snack']",,['Dessert'],,hands,"tea, milk and coffee",regular,,"semolina, salt, water, Oil",https://www.youtube.com/watch?v=JT5KG3l46kU,,No CC Images Available,,,,
353,aḍemmin,adhemin,Kabyle,kab,Algeria,Africa,Kabylia,Kabylia,['anytime'],,['Side dish'],,spoon,,both,mosques,"olive oil, barley, whole wheat flour, chickpea flour, lentil flour",https://fr.wikipedia.org/wiki/A%E1%B8%8Demmin,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Atamine.jpg/420px-Atamine.jpg,"this image shows a bowl of adhemin, surrounded by dates and dry figs",,,
352,Adghes,Adghes,Kabyle,kab,Algeria,Africa,Kabylia,Kabylia,['anytime'],,['Side dish'],,spoon,,special,when the ewe gives birth,"olive oil, Eggs, ewe milk",https://fr.wikipedia.org/wiki/Adghess_(plat),"the ewe milk can be changed with cow's milk, and should be the milk of right after the birth",https://i0.wp.com/www.amourdecuisine.fr/wp-content/uploads/2013/06/adhress-cuisine-algerienne1.jpg?resize=555%2C727&ssl=1,this image shows ewe milk custard with salad on the side,,,
