id,local_name,continent,seed,country_match,country_llm,countries,ingredients_intersect,ingredients,ingredients_llm,ingredients_union
899,khdawedj ala darbouz,Africa,0,False,Morocco.,Algeria,['cinnamon'],"ghee, butter, chickpea, chicken, cinnamon, onions","['watermelon', 'almonds', 'sugar', 'orange blossom water', 'cinnamon', 'vanilla', 'rose water', 'pistachios', 'honey', 'dates']","['ghee', 'butter', 'chickpea', 'chicken', 'cinnamon', 'onions', 'watermelon', 'almonds', 'sugar', 'orange blossom water', 'vanilla', 'rose water', 'pistachios', 'honey', 'dates']"
899,khdawedj ala darbouz,Africa,1,False,Morocco,Algeria,"['chicken', 'onions']","ghee, butter, chickpea, chicken, cinnamon, onions","['chicken', 'watermelon', 'onions', 'tomato paste', 'garlic', 'olive oil', 'spices', 'salt', 'pepper', 'lemon']","['ghee', 'butter', 'chickpea', 'chicken', 'cinnamon', 'onions', 'watermelon', 'tomato paste', 'garlic', 'olive oil', 'spices', 'salt', 'pepper', 'lemon']"
899,khdawedj ala darbouz,Africa,2,False,Morocco.,Algeria,"['chicken', 'onions']","ghee, butter, chickpea, chicken, cinnamon, onions","['chicken', 'watermelon', 'onions', 'tomatoes', 'garlic', 'olive oil', 'harissa', 'cumin', 'coriander', 'salt']","['ghee', 'butter', 'chickpea', 'chicken', 'cinnamon', 'onions', 'watermelon', 'tomatoes', 'garlic', 'olive oil', 'harissa', 'cumin', 'coriander', 'salt']"
899,khdawedj ala darbouz,Africa,3,False,Morocco,Algeria,['chicken'],"ghee, butter, chickpea, chicken, cinnamon, onions","['watermelon', 'olive oil', 'garlic', 'cumin', 'paprika', 'coriander', 'red pepper flakes', 'salt', 'black pepper', 'chicken']","['ghee', 'butter', 'chickpea', 'chicken', 'cinnamon', 'onions', 'watermelon', 'olive oil', 'garlic', 'cumin', 'paprika', 'coriander', 'red pepper flakes', 'salt', 'black pepper']"
899,khdawedj ala darbouz,Africa,4,False,Morocco,Algeria,"['chicken', 'onion']","ghee, butter, chickpea, chicken, cinnamon, onions","['chicken', 'watermelon', 'onion', 'garlic', 'tomato', 'harissa paste', 'cumin', 'coriander', 'olive oil', 'salt']","['ghee', 'butter', 'chickpea', 'chicken', 'cinnamon', 'onions', 'watermelon', 'onion', 'garlic', 'tomato', 'harissa paste', 'cumin', 'coriander', 'olive oil', 'salt']"
897,zaligou,Africa,0,False,Greece,Algeria,"['garlic', 'chicken']","garlic, chicken, pepper, meat, Green bean","['couscous', 'lamb', 'onions', 'tomato', 'chickpeas', 'olive oil', 'harissa', 'cumin', 'coriander', 'parsley']","['garlic', 'chicken', 'pepper', 'meat', 'Green bean', 'couscous', 'lamb', 'onions', 'tomato', 'chickpeas', 'olive oil', 'harissa', 'cumin', 'coriander', 'parsley']"
897,zaligou,Africa,1,False,`zaligou` is from Greece.,Algeria,['garlic'],"garlic, chicken, pepper, meat, Green bean","['beef', 'lamb', 'onions', 'garlic', 'tomatoes', 'paprika', 'cumin', 'coriander', 'olive oil', 'salt']","['garlic', 'pepper', 'meat', 'Green bean', 'beef', 'lamb', 'onions', 'tomatoes', 'paprika', 'cumin', 'coriander', 'olive oil', 'salt']"
897,zaligou,Africa,2,False,China,Algeria,['garlic'],"garlic, chicken, pepper, meat, Green bean","['lamb', 'potatoes', 'carrots', 'onions', 'garlic', 'tomato paste', 'olive oil', 'harissa', 'cumin', 'coriander']","['garlic', 'chicken', 'pepper', 'meat', 'Green bean', 'lamb', 'potatoes', 'carrots', 'onions', 'tomato paste', 'olive oil', 'harissa', 'cumin', 'coriander']"
897,zaligou,Africa,3,False,Greece,Algeria,['garlic'],"garlic, chicken, pepper, meat, Green bean","['lamb meat', 'onions', 'tomatoes', 'garlic', 'coriander', 'cumin', 'paprika', 'olive oil', 'harissa', 'potatoes']","['garlic', 'chicken', 'pepper', 'meat', 'Green bean', 'lamb meat', 'onions', 'tomatoes', 'coriander', 'cumin', 'paprika', 'olive oil', 'harissa', 'potatoes']"
897,zaligou,Africa,4,False,Greece,Algeria,['garlic'],"garlic, chicken, pepper, meat, Green bean","['lamb', 'potatoes', 'onions', 'carrots', 'tomato paste', 'parsley', 'olive oil', 'garlic', 'cumin', 'salt']","['garlic', 'chicken', 'pepper', 'meat', 'Green bean', 'lamb', 'potatoes', 'onions', 'carrots', 'tomato paste', 'parsley', 'olive oil', 'cumin', 'salt']"
889,gateau el mabroucha,Africa,0,True,Tunisia,Algeria,"['baking powder', 'eggs']","baking powder, flour, Sugar, egg, apricot jam, lemon zest, Oil","['semolina', 'powdered sugar', 'butter', 'eggs', 'baking powder', 'yogurt', 'orange blossom water', 'vanilla extract', 'almonds', 'honey']","['baking powder', 'flour', 'Sugar', 'egg', 'apricot jam', 'lemon zest', 'Oil', 'semolina', 'powdered sugar', 'butter', 'eggs', 'yogurt', 'orange blossom water', 'vanilla extract', 'almonds', 'honey']"
889,gateau el mabroucha,Africa,1,False,Tunisia.,Algeria,"['baking powder', 'sugar', 'eggs']","baking powder, flour, Sugar, egg, apricot jam, lemon zest, Oil","['semolina', 'vegetable oil', 'sugar', 'butter', 'eggs', 'baking powder', 'vanilla extract', 'almonds', 'cinnamon', 'orange blossom water']","['baking powder', 'flour', 'sugar', 'eggs', 'vanilla extract', 'vegetable oil']"
889,gateau el mabroucha,Africa,2,False,Tunisia,Algeria,"['baking powder', 'flour', 'sugar', 'eggs']","baking powder, flour, Sugar, egg, apricot jam, lemon zest, Oil","['almonds', 'sugar', 'butter', 'eggs', 'vanilla extract', 'flour', 'baking powder', 'orange blossom water', 'powdered sugar', 'cinnamon']","['baking powder', 'flour', 'sugar', 'egg']"
889,gateau el mabroucha,Africa,3,False,Tunisia,Algeria,"['flour', 'sugar', 'eggs', 'lemon zest']","baking powder, flour, Sugar, egg, apricot jam, lemon zest, Oil","['almonds', 'sugar', 'butter', 'flour', 'eggs', 'orange blossom water', 'cinnamon', 'vanilla extract', 'powdered sugar', 'lemon zest']","['baking powder', 'flour', 'Sugar', 'egg', 'apricot jam', 'lemon zest', 'Oil', 'almonds', 'butter', 'eggs', 'orange blossom water', 'cinnamon', 'vanilla extract', 'powdered sugar']"
889,gateau el mabroucha,Africa,4,False,Tunisia,Algeria,['sugar'],"baking powder, flour, Sugar, egg, apricot jam, lemon zest, Oil","['almonds', 'sugar', 'butter', 'semolina', 'orange blossom water', 'cinnamon', 'honey', 'powdered sugar', 'vanilla extract', 'water']","['baking powder', 'flour', 'Sugar', 'egg', 'apricot jam', 'lemon zest', 'Oil', 'almonds', 'butter', 'semolina', 'orange blossom water', 'cinnamon', 'honey', 'powdered sugar', 'vanilla extract', 'water']"
863,chakhchoukhat dhfer,Africa,0,False,Tunisia,Algeria,"['onion', 'garlic', 'oil']","carrot, semolina, onion, courgette, butter, garlic, ras el hanout, chickpea, meat, Oil","['tomatoes', 'green peppers', 'onions', 'garlic', 'olive oil', 'eggs', 'salt', 'pepper', 'harissa', 'cumin']","['carrot', 'semolina', 'onion', 'courgette', 'butter', 'garlic', 'ras el hanout', 'chickpea', 'meat', 'Oil', 'tomatoes', 'green peppers', 'olive oil', 'eggs', 'salt', 'pepper', 'harissa', 'cumin']"
863,chakhchoukhat dhfer,Africa,1,False,Tunisia,Algeria,"['carrot', 'onion', 'garlic']","carrot, semolina, onion, courgette, butter, garlic, ras el hanout, chickpea, meat, Oil","['tomatoes', 'bell peppers', 'onions', 'garlic', 'olive oil', 'harissa paste', 'caraway seeds', 'paprika', 'cumin', 'eggs']","['carrot', 'semolina', 'onion', 'butter', 'garlic', 'chickpea', 'meat', 'Oil', 'tomatoes', 'bell peppers', 'harissa paste', 'caraway seeds', 'paprika', 'cumin', 'eggs']"
863,chakhchoukhat dhfer,Africa,2,False,Tunisia.,Algeria,"['onion', 'garlic', 'oil']","carrot, semolina, onion, courgette, butter, garlic, ras el hanout, chickpea, meat, Oil","['tomatoes', 'onions', 'green peppers', 'garlic', 'olive oil', 'harissa', 'eggs', 'parsley', 'salt', 'black pepper']","['carrot', 'semolina', 'onion', 'courgette', 'butter', 'garlic', 'ras el hanout', 'chickpea', 'meat', 'Oil', 'tomatoes', 'green peppers', 'olive oil', 'harissa', 'eggs', 'parsley', 'salt', 'black pepper']"
863,chakhchoukhat dhfer,Africa,3,False,Tunisia,Algeria,"['onion', 'garlic', ' Oil']","carrot, semolina, onion, courgette, butter, garlic, ras el hanout, chickpea, meat, Oil","['tomatoes', 'green peppers', 'onions', 'garlic', 'olive oil', 'eggs', 'salt', 'black pepper', 'cumin', 'paprika']","['carrot', 'semolina', 'onion', 'courgette', 'butter', 'garlic', 'ras el hanout', 'chickpea', 'meat', 'Oil', 'tomatoes', 'green peppers', 'olive oil', 'eggs', 'salt', 'black pepper', 'cumin', 'paprika']"
863,chakhchoukhat dhfer,Africa,4,False,Tunisia.,Algeria,"['onion', 'garlic', 'oil']","carrot, semolina, onion, courgette, butter, garlic, ras el hanout, chickpea, meat, Oil","['tomatoes', 'green peppers', 'onions', 'garlic', 'olive oil', 'eggs', 'harrisa', 'salt', 'black pepper', 'cumin']","['carrot', 'semolina', 'onion', 'courgette', 'butter', 'garlic', 'ras el hanout', 'chickpea', 'meat', 'Oil', 'tomatoes', 'green peppers', 'olive oil', 'eggs', 'harrisa', 'salt', 'black pepper', 'cumin']"
862,tadjin djelbana,Africa,0,True,Algeria.,Algeria,"['onion', 'olive oil', 'potato']","carrot, onion, olive oil, potato, artichoke, beef, ras el hanout, pea, meat","['lamb, onions, tomatoes, chickpeas, potatoes, garlic, green peppers, saffron, cinnamon, olives']","['carrot', 'onion', 'olive oil', 'potato', 'beef', 'ras el hanout', 'pea', 'artichoke', 'lamb', 'tomatoes', 'chickpeas', 'garlic', 'green peppers', 'saffron', 'cinnamon', 'olives']"
862,tadjin djelbana,Africa,1,True,Algeria,Algeria,"['onion', 'olive oil', 'potato']","carrot, onion, olive oil, potato, artichoke, beef, ras el hanout, pea, meat","['lamb meat', 'onions', 'garlic', 'tomatoes', 'bell peppers', 'potatoes', 'olive oil', 'harissa paste', 'cumin', 'paprika']","['carrot', 'onion', 'olive oil', 'potato', 'beef', 'ras el hanout', 'pea', 'meat', 'lamb meat', 'garlic', 'tomatoes', 'bell peppers', 'harissa paste', 'cumin', 'paprika']"
862,tadjin djelbana,Africa,2,True,Morocco,Algeria,"['onion', 'olive oil', 'potato', 'beef']","carrot, onion, olive oil, potato, artichoke, beef, ras el hanout, pea, meat","['lamb or beef', 'onions', 'garlic', 'bell peppers', 'tomatoes', 'spices (such as paprika, cumin, coriander)', 'olive oil', 'lemon', 'potatoes', 'green peas']","['carrot', 'onion', 'olive oil', 'potato', 'beef', 'ras el hanout', 'pea', 'lamb or beef', 'garlic', 'bell peppers', 'tomatoes', 'spices (such as paprika, cumin, coriander)', 'lemon']"
862,tadjin djelbana,Africa,3,True,Algeria,Algeria,"['onion', 'olive oil', 'potato']","carrot, onion, olive oil, potato, artichoke, beef, ras el hanout, pea, meat","['lamb meat', 'onions', 'tomatoes', 'garlic', 'olive oil', 'paprika', 'cumin', 'coriander', 'potatoes', 'green peppers']","['carrot', 'onion', 'olive oil', 'potato', 'beef', 'ras el hanout', 'pea', 'lamb meat', 'tomatoes', 'garlic', 'paprika', 'cumin', 'coriander', 'green peppers']"
862,tadjin djelbana,Africa,4,True,Algeria,Algeria,"['onion', 'olive oil', 'potato']","carrot, onion, olive oil, potato, artichoke, beef, ras el hanout, pea, meat","['lamb meat', 'onions', 'garlic', 'tomatoes', 'bell peppers', 'potatoes', 'chickpeas', 'olive oil', 'spices', 'harissa']","['carrot', 'onion', 'olive oil', 'potato', 'beef', 'pea', 'artichoke', 'ras el hanout', 'lamb meat', 'garlic', 'tomatoes', 'bell peppers', 'chickpeas', 'spices', 'harissa']"
861,merguez,Africa,0,True,Algeria,Algeria,"['black pepper', 'paprika', 'cumin', 'garlic', 'coriander']","black pepper, paprika, cumin, garlic, coriander, minced meat","['lamb or beef', 'spices (such as paprika, cumin, coriander)', 'garlic', 'salt', 'black pepper', 'cayenne pepper', 'harissa', 'olive oil', 'onions', 'parsley']","['black pepper', 'paprika', 'cumin', 'garlic', 'coriander', 'minced meat', 'lamb or beef', 'salt', 'cayenne pepper', 'harissa', 'olive oil', 'onions', 'parsley']"
861,merguez,Africa,1,True,Algeria,Algeria,"['black pepper', 'paprika', 'cumin', 'garlic', 'coriander']","black pepper, paprika, cumin, garlic, coriander, minced meat","['beef', 'lamb', 'garlic', 'cumin', 'coriander', 'paprika', 'cayenne pepper', 'sumac', 'salt', 'black pepper']","['black pepper', 'paprika', 'cumin', 'garlic', 'coriander', 'minced meat', 'beef', 'lamb', 'cayenne pepper', 'sumac', 'salt']"
861,merguez,Africa,2,True,Algeria,Algeria,"['black pepper', 'paprika', 'cumin', 'garlic', 'coriander']","black pepper, paprika, cumin, garlic, coriander, minced meat","['lamb or beef', 'garlic', 'cumin', 'paprika', 'cayenne pepper', 'coriander', 'fennel seeds', 'sumac', 'salt', 'black pepper']","['black pepper', 'paprika', 'cumin', 'garlic', 'coriander', 'minced meat', 'lamb or beef', 'cayenne pepper', 'fennel seeds', 'sumac', 'salt']"
861,merguez,Africa,3,True,Algeria,Algeria,"['black pepper', 'paprika', 'cumin', 'garlic', 'coriander']","black pepper, paprika, cumin, garlic, coriander, minced meat","['lamb', 'beef', 'harissa', 'cumin', 'coriander', 'garlic', 'paprika', 'red pepper flakes', 'salt', 'black pepper']","['black pepper', 'paprika', 'cumin', 'garlic', 'coriander']"
861,merguez,Africa,4,True,Algeria.,Algeria,"['black pepper', 'paprika', 'cumin', 'garlic', 'coriander']","black pepper, paprika, cumin, garlic, coriander, minced meat","['ground lamb', 'paprika', 'cayenne pepper', 'garlic', 'fennel seeds', 'cumin', 'coriander', 'salt', 'black pepper', 'olive oil']","['black pepper', 'paprika', 'cumin', 'garlic', 'coriander', 'minced meat', 'ground lamb', 'cayenne pepper', 'fennel seeds', 'salt', 'olive oil']"
860,hmis,Africa,0,False,Israel,Algeria,['olive oil'],"tomato, olive oil, pepper","['chickpeas', 'olive oil', 'garlic', 'lemon juice', 'cumin', 'paprika', 'salt', 'water', 'tahini', 'parsley']","['tomato', 'olive oil', 'pepper', 'chickpeas', 'garlic', 'lemon juice', 'cumin', 'paprika', 'salt', 'water', 'tahini', 'parsley']"
860,hmis,Africa,1,False,Tunisia,Algeria,['olive oil'],"tomato, olive oil, pepper","['chickpeas', 'garlic', 'olive oil', 'lemon juice', 'cumin', 'paprika', 'salt', 'water', 'tahini', 'parsley']","['tomato', 'olive oil', 'pepper', 'chickpeas', 'garlic', 'lemon juice', 'cumin', 'paprika', 'salt', 'water', 'tahini', 'parsley']"
860,hmis,Africa,2,False,Morocco,Algeria,"['tomato', 'olive oil', 'pepper']","tomato, olive oil, pepper","['tomatoes', 'green peppers', 'onions', 'garlic', 'olive oil', 'cumin', 'paprika', 'salt', 'pepper', 'eggs']","['tomato', 'olive oil', 'pepper', 'green peppers', 'onions', 'garlic', 'cumin', 'paprika', 'salt', 'eggs']"
860,hmis,Africa,3,False,Morocco,Algeria,['olive oil'],"tomato, olive oil, pepper","['chickpeas', 'garlic', 'lemon juice', 'olive oil', 'ground cumin', 'paprika', 'salt', 'water', 'tahini', 'fresh parsley']","['tomato', 'olive oil', 'pepper', 'chickpeas', 'garlic', 'lemon juice', 'ground cumin', 'paprika', 'salt', 'water', 'tahini', 'fresh parsley']"
860,hmis,Africa,4,False,Morocco,Algeria,['olive oil'],"tomato, olive oil, pepper","['chickpeas', 'garlic', 'lemon juice', 'tahini', 'olive oil', 'salt', 'cumin', 'paprika', 'water', 'parsley']","['tomato', 'olive oil', 'pepper', 'chickpeas', 'garlic', 'lemon juice', 'tahini', 'salt', 'cumin', 'paprika', 'water', 'parsley']"
859,poulet aux carottes à l'algerienne,Africa,0,True,Algeria,Algeria,"['carrot', 'olive oil', 'cumin', 'chicken', 'onions']","carrot, olive oil, cumin, chicken, raisins, prunes, onions","['chicken', 'carrots', 'onions', 'garlic', 'tomato paste', 'olive oil', 'cumin', 'coriander', 'paprika', 'lemon']","['carrot', 'olive oil', 'cumin', 'chicken', 'onions', 'raisins', 'prunes', 'garlic', 'tomato paste', 'coriander', 'paprika', 'lemon']"
859,poulet aux carottes à l'algerienne,Africa,1,True,Algeria,Algeria,"['carrot', 'olive oil', 'cumin', 'chicken', 'onions']","carrot, olive oil, cumin, chicken, raisins, prunes, onions","['chicken', 'carrots', 'onions', 'garlic', 'tomato paste', 'olive oil', 'cumin', 'paprika', 'coriander', 'lemon']","['carrot', 'olive oil', 'cumin', 'chicken', 'onions', 'raisins', 'prunes', 'garlic', 'tomato paste', 'paprika', 'coriander', 'lemon']"
859,poulet aux carottes à l'algerienne,Africa,2,True,Algeria,Algeria,"['carrots', 'olive oil', 'cumin', 'chicken', 'onions']","carrot, olive oil, cumin, chicken, raisins, prunes, onions","['chicken', 'carrots', 'onions', 'garlic', 'tomato paste', 'cumin', 'coriander', 'olive oil', 'lemon', 'salt']","['carrot', 'olive oil', 'cumin', 'chicken', 'raisins', 'prunes', 'onions', 'garlic', 'tomato paste', 'coriander', 'lemon', 'salt']"
859,poulet aux carottes à l'algerienne,Africa,3,True,Algeria,Algeria,"['carrot', 'olive oil', 'cumin', 'chicken', 'onions']","carrot, olive oil, cumin, chicken, raisins, prunes, onions","['chicken', 'carrots', 'onions', 'garlic', 'tomato paste', 'olive oil', 'cumin', 'coriander', 'lemon', 'harissa']","['carrot', 'olive oil', 'cumin', 'chicken', 'onions', 'raisins', 'prunes', 'garlic', 'tomato paste', 'coriander', 'lemon', 'harissa']"
859,poulet aux carottes à l'algerienne,Africa,4,True,Algeria,Algeria,"['carrot', 'olive oil', 'cumin', 'chicken', 'onions']","carrot, olive oil, cumin, chicken, raisins, prunes, onions","['chicken', 'carrots', 'onions', 'garlic', 'tomatoes', 'olive oil', 'spices (such as cumin, paprika, coriander)', 'lemon juice', 'chicken broth', 'green olives']","['carrot', 'olive oil', 'cumin', 'chicken', 'onions']"
858,Khobz el Dar,Africa,0,False,Morocco,Algeria,"['semolina', 'sugar', 'yeast', 'sesame', 'water']","semolina, flour, Milk, Sugar, Yeast, sesame, water, Oil","['semolina', 'yeast', 'salt', 'sugar', 'olive oil', 'water', 'milk', 'sesame seeds', 'anise seeds', 'fennel seeds']","['semolina', 'flour', 'Milk', 'Sugar', 'Yeast', 'sesame', 'water', 'Oil', 'salt', 'olive oil', 'sesame seeds', 'anise seeds', 'fennel seeds']"
858,Khobz el Dar,Africa,1,False,Morocco,Algeria,"['semolina', 'sugar', 'yeast', 'water', 'sesame']","semolina, flour, Milk, Sugar, Yeast, sesame, water, Oil","['semolina', 'yeast', 'salt', 'sugar', 'olive oil', 'water', 'black seed', 'sesame seeds', 'poppy seeds', 'milk']","['semolina', 'flour', 'Milk', 'Sugar', 'Yeast', 'sesame', 'water', 'Oil', 'salt', 'olive oil', 'black seed', 'poppy seeds']"
858,Khobz el Dar,Africa,2,False,Morocco,Algeria,"['flour', 'yeast', 'sugar', 'water']","semolina, flour, Milk, Sugar, Yeast, sesame, water, Oil","['flour', 'yeast', 'sugar', 'salt', 'olive oil', 'water']","['semolina', 'flour', 'Milk', 'Sugar', 'Yeast', 'sesame', 'water', 'Oil', 'salt', 'olive oil']"
858,Khobz el Dar,Africa,3,True,Morocco,Algeria,"['semolina', 'sugar', 'yeast', 'water', 'Oil']","semolina, flour, Milk, Sugar, Yeast, sesame, water, Oil","['semolina', 'yeast', 'sugar', 'salt', 'olive oil', 'water']","['semolina', 'flour', 'Milk', 'Sugar', 'Yeast', 'sesame', 'water', 'Oil', 'salt', 'olive oil']"
858,Khobz el Dar,Africa,4,False,Morocco,Algeria,"['flour', 'sugar', 'yeast', 'water']","semolina, flour, Milk, Sugar, Yeast, sesame, water, Oil","['flour', 'yeast', 'salt', 'sugar', 'olive oil', 'water']","['flour', 'yeast', 'sugar', 'water', 'Oil', 'salt', 'olive oil']"
857,Dersa,Africa,0,True,Algeria,Algeria,"['olive oil', 'paprika', 'cumin', 'garlic']","olive oil, paprika, cumin, garlic, red pepper","['garlic', 'coriander', 'paprika', 'cumin', 'cayenne pepper', 'olive oil', 'salt', 'lemon juice', 'tomato paste', 'harissa']","['olive oil', 'paprika', 'cumin', 'garlic', 'red pepper', 'coriander', 'cayenne pepper', 'salt', 'lemon juice', 'tomato paste', 'harissa']"
857,Dersa,Africa,1,False,Morocco,Algeria,"['olive oil', 'paprika', 'cumin', 'garlic']","olive oil, paprika, cumin, garlic, red pepper","['garlic', 'chili peppers', 'cumin', 'coriander', 'paprika', 'olive oil', 'salt', 'lemon juice', 'tomato paste', 'parsley']","['olive oil', 'paprika', 'cumin', 'garlic', 'red pepper', 'chili peppers', 'coriander', 'salt', 'lemon juice', 'tomato paste', 'parsley']"
857,Dersa,Africa,2,False,Morocco,Algeria,"['olive oil', 'paprika', 'cumin', 'garlic']","olive oil, paprika, cumin, garlic, red pepper","['garlic', 'cumin', 'coriander', 'paprika', 'salt', 'olive oil', 'lemon juice', 'chili powder', 'tomato paste', 'water']","['olive oil', 'paprika', 'cumin', 'garlic', 'red pepper', 'coriander', 'salt', 'lemon juice', 'chili powder', 'tomato paste', 'water']"
857,Dersa,Africa,3,False,Morocco,Algeria,"['olive oil', 'paprika', 'cumin', 'garlic']","olive oil, paprika, cumin, garlic, red pepper","['garlic', 'salt', 'cumin', 'paprika', 'olive oil', 'lemon juice', 'green chili', 'coriander', 'parsley', 'water']","['olive oil', 'paprika', 'cumin', 'garlic', 'red pepper', 'salt', 'lemon juice', 'green chili', 'coriander', 'parsley', 'water']"
857,Dersa,Africa,4,True,Algeria,Algeria,"['olive oil', 'paprika', 'cumin', 'garlic']","olive oil, paprika, cumin, garlic, red pepper","['garlic', 'tomato paste', 'hot pepper paste', 'cumin', 'coriander', 'salt', 'olive oil', 'lemon juice', 'paprika', 'water']","['olive oil', 'paprika', 'cumin', 'garlic', 'red pepper', 'tomato paste', 'hot pepper paste', 'coriander', 'salt', 'lemon juice', 'water']"
856,Chtitha Batata,Africa,0,True,Algeria,Algeria,"['potato', 'garlic', 'onion', 'tomato']","carrot, tomato, onion, potato, meadow sweet, garlic","['potatoes', 'garlic', 'onions', 'paprika', 'tomato paste', 'olive oil', 'coriander', 'cumin', 'salt', 'black pepper']","['carrot', 'tomato', 'onion', 'potatoes', 'meadow sweet', 'garlic', 'paprika', 'tomato paste', 'olive oil', 'coriander', 'cumin', 'salt', 'black pepper']"
856,Chtitha Batata,Africa,1,True,Algeria,Algeria,"['carrot', 'tomato', 'onion', 'potato', 'garlic']","carrot, tomato, onion, potato, meadow sweet, garlic","['potatoes', 'garlic', 'onions', 'paprika', 'cumin', 'caraway seeds', 'olive oil', 'tomato paste', 'coriander', 'salt']","['carrot', 'tomato', 'onion', 'potato', 'meadow sweet', 'garlic', 'paprika', 'cumin', 'caraway seeds', 'olive oil', 'tomato paste', 'coriander', 'salt']"
